system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-static,0.75,0.75,0.0,6,89692.75,38439.0,4,0.25,0,0,0,0
no-skill,0.25,0.25,0.0,10,86470.5,30290.25,4,-0.25,1,1,0,0
optimized,0.25,0.25,0.0,10,111795.25,35270.5,4,-0.25,1,1,0,0
original,0.5,0.5,0.0,9,72409.25,43123.75,0,0.0,0,0,0,0
