system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-static,0.0,0.0,0.0,8,31145.0,7821.75,4,0.0,0,0,0,0
no-skill,0.0,0.0,0.0,11,55509.25,6994.5,4,0.0,0,0,0,0
original,0.0,0.0,0.0,15,13122.0,3316.0,0,0.0,0,0,0,0
