system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-pgo,1.0,1.0,0.0,0,20714.166666666668,4485.5,6,0.16666666666666666,0,0,0,0
ir-profile,0.8333333333333334,0.8333333333333334,0.0,1,23112.333333333332,3430.3333333333335,6,0.0,1,1,0,0
original,0.8333333333333334,0.8333333333333334,0.0,1,13466.333333333334,1781.8333333333333,0,0.0,0,0,0,0
