system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-profile,1.0,1.0,0.0,0,6590.666666666667,1999.0,6,0.0,0,0,0,0
original,1.0,1.0,0.0,0,6087.666666666667,1057.5,0,0.0,0,0,0,0
