system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-profile,1.0,1.0,0.0,0,6651.916666666667,1470.3333333333333,24,0.08333333333333333,0,0,0,0
original,0.9166666666666666,0.9166666666666666,0.0,2,6347.958333333333,1266.1666666666667,0,0.0,0,0,0,0
