system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-pgo,0.5,0.5,0.0,3,20087.0,5282.166666666667,6,0.16666666666666666,0,0,0,0
ir-profile,0.8333333333333334,0.8333333333333334,0.0,1,21616.666666666668,5400.333333333333,6,0.5,0,0,0,0
original,0.3333333333333333,0.3333333333333333,0.0,8,27395.5,5400.166666666667,0,0.0,0,0,0,0
