system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-profile,1.0,1.0,0.0,0,14747.166666666666,1833.6666666666667,6,0.0,0,0,0,0
original,1.0,1.0,0.0,0,6760.333333333333,1218.3333333333333,0,0.0,0,0,0,0
