system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-profile,1.0,1.0,0.0,0,20674.5,3701.6666666666665,6,0.16666666666666666,0,0,0,0
original,0.8333333333333334,0.8333333333333334,0.0,1,25660.666666666668,4042.5,0,0.0,0,0,0,0
