model,system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
gpt-4.1-mini,ir-profile,1.0,1.0,0.0,0,14747.166666666666,1833.6666666666667,6,0.0,0,0,0,0
gpt-4.1-mini,original,1.0,1.0,0.0,0,6760.333333333333,1218.3333333333333,0,0.0,0,0,0,0
gpt-4.1-nano,ir-profile,1.0,1.0,0.0,0,22832.333333333332,2813.0,6,0.0,0,0,0,0
gpt-4.1-nano,original,1.0,1.0,0.0,0,15579.166666666666,2928.5,0,0.0,0,0,0,0
gemini-2.5-flash,ir-profile,0.6666666666666666,0.6666666666666666,0.0,0,10717.5,1648.75,4,0.0,0,0,2,0
gemini-2.5-flash,original,0.6666666666666666,0.6666666666666666,0.0,0,7572.0,1172.75,0,0.0,0,0,2,0
