system,mean_success,worst_case_success,variance,rule_violations,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-only,1.0,1.0,0.0,0,1,0.0,0,0,0,0
ir-profile,1.0,1.0,0.0,0,1,0.0,0,0,0,0
ir-static,1.0,1.0,0.0,0,1,0.0,0,0,0,0
no-skill,0.5,0.5,0.0,0,1,0.0,0,0,1,0
original,0.5,0.5,0.0,0,0,0.0,0,0,1,0
skvm-aot,1.0,1.0,0.0,0,1,0.0,0,0,0,0
