system,mean_success,worst_case_success,variance,rule_violations,mean_latency_ms,mean_token_cost,paired_cases,paired_delta_success,regression_count,negative_delta_count,infrastructure_failures,agent_failures
ir-profile,1.0,1.0,0.0,0,5207.916666666667,1792.0833333333333,12,0.0,0,0,0,0
original,1.0,1.0,0.0,0,5039.916666666667,973.5,0,0.0,0,0,0,0
